id,person_name,person_data
1,Sheldon Whitehouse,1
2,Shelley Moore Capito,2
3,John W. Hickenlooper,3
4,Tommy Tuberville,4
5,Thomas R. Carper,5
6,Tammy Duckworth,6
7,Tina Smith,7
8,Gary C. Peters,8
9,Mitch Mcconnell,9
10,Dan Sullivan,10
11,Maria Cantwell,11
12,Jacky Rosen,12
13,Deb Fischer,13
14,John Thune,14
15,Ron Wyden,15
16,Jerry Moran,16
17,"Angus S. King, Jr.",17
18,James M. Inhofe,18
19,Pat Roberts,19
20,Bill Cassidy,20
21,Kelly Loeffler,21
22,Tim Kaine,22
23,Ted Cruz,23
24,Jack Reed,24
25,Thom Tillis,25
26,"Robert P. Casey, Jr.",26
27,Patty Murray,27
28,Chris Van Hollen,28
29,John Cornyn,29
30,Michael B. Enzi,30
